Close,High,Low,Open,Volume
DLF.NS,DLF.NS,DLF.NS,DLF.NS,DLF.NS
124.09231567382812,124.7696755056305,122.8279161668321,123.73106260923528,3057025
125.71795654296875,127.11783600111855,123.82135766692043,124.99543677931871,4759090
122.64728546142578,124.18263160508637,121.74413904975243,123.55043187309914,5929537
120.70550537109375,122.37633164765474,119.44110598082908,121.02161210911981,6414971
121.56352233886719,124.18264163182425,118.85408288508194,120.52489561302983,7368573
128.92413330078125,129.73695945195632,122.19569617541809,123.55041561465573,9062204
124.49873352050781,130.27886481809333,120.11846808184687,129.6015050356769,8109551
123.27947998046875,125.04061265257715,122.37633360698545,124.27294650366836,5247669
120.34424591064453,124.13745765971181,119.48625967159298,123.82136471949232,7351163
120.43457794189453,121.87960391321663,119.57657783723282,119.80236443721319,5751188
133.4850311279297,135.0203771419215,123.32463485470818,124.5438741389431,17725500
132.0851593017578,136.69121139490514,129.19509361509998,132.40126605006174,13096543
131.27232360839844,134.20754915922126,129.33055074468717,132.6721893848247,5451338
131.5432586669922,133.57533792825933,129.33055289424075,132.0399919092636,4747097
129.78211975097656,132.67218513691466,128.11130737486363,131.8593589843104,4821636
134.20753479003906,135.29130750581518,129.3305368976699,130.41430961344602,9019250
141.52305603027344,142.60682909121567,134.43336416178977,136.2848034913101,14722411
142.60682678222656,143.7809199879548,138.90393440221837,142.33589385706938,8855525
147.25804138183594,148.2063479746161,139.26518924673164,140.57474893156038,11878411
150.50933837890625,152.4059512850437,145.58719337506957,145.58719337506957,12112048
153.44454956054688,158.0506011639789,149.78681810120122,152.0898301219985,11569727
156.19915771484375,157.4635708672315,151.8189062072493,154.4380250971132,7545950
153.62518310546875,157.50870096756748,150.73510407192808,156.74103492127924,7479301
156.56040954589844,161.84380689370835,149.19975926481055,154.16706369044897,12756976
152.99301147460938,157.46359767104434,151.9092384315944,155.74761105375885,6889506
147.61929321289062,155.11541194670318,144.50344053259104,152.18018581088492,10514349
141.88429260253906,147.48379703896543,139.31032007421345,140.93598620889705,8809558
142.2906951904297,145.54201343894184,133.66564570148154,136.55571096046506,12490607
143.0583953857422,145.18079510335423,141.0263158275304,141.97462237754686,7961425
143.37449645996094,145.36141585944236,140.52959070398992,143.87122975506153,5932767
140.16831970214844,148.52242397237768,138.723293718553,144.14217216410708,7459362
140.43927001953125,142.78745625248342,139.44580343306976,141.6585232137412,7631900
135.42681884765625,142.1101114100971,133.891472509299,141.7940046135578,7260335
135.69772338867188,137.91042893400072,132.4012451049083,137.18790918140488,8145217
136.69122314453125,139.44580884115584,135.7429165990257,136.51058282659005,6299259
132.3561248779297,137.32343072350866,131.1368715671005,137.23311055940198,6255008
132.44639587402344,134.07206192714204,131.00137010085464,133.80111528813586,5363297
133.16891479492188,136.28476667116487,132.3560886640475,132.85282186887892,6740635
135.9235382080078,136.9621510939066,132.44641892752762,133.16893883033245,6970504
140.84567260742188,141.92944548725154,132.807675486022,133.89144836585166,12535891
139.58126831054688,144.68403957192322,138.54264176061372,141.74881399410583,6623433
136.64602661132812,141.70363720324548,135.74288038624456,140.7101846242042,5781561
139.17486572265625,142.60681101718725,137.00730609456676,141.11662496987356,8764606
139.2200164794922,140.7553764331044,136.87184403329388,139.49096316430146,5560556
136.3751220703125,141.29726775971224,134.252722274068,139.08456158164321,6088574
130.86590576171875,136.9169975700048,129.78213285517742,136.5557307472109,8941746
131.00137329101562,132.22061252485673,125.62765557369198,130.95621321992843,9714297
134.97523498535156,135.42680821299135,131.00139609448982,132.310955698461,5863912
142.1552276611328,146.94190599431514,131.13684512686748,137.27824296297388,24833117
148.38693237304688,149.29007862756217,143.32930783539393,145.22592048224334,15502205
149.01914978027344,151.18669553743675,147.0322305393871,149.335256519448,9395915
148.56756591796875,149.8771252929768,147.21284647190825,148.11599276928192,5060431
148.07083129882812,150.9608966669264,147.21284508061564,149.24492423050143,4412152
144.41310119628906,148.838526743593,143.19386184722586,148.11600688067398,5534666
143.9163818359375,145.7226746043538,140.89083593647212,144.6388879185679,4464757
144.59373474121094,146.5354938624597,142.5164954002279,142.69712191228743,5077957
149.06430053710938,149.47071361855913,143.60026263051904,144.81951565578726,7036974
143.87123107910156,148.0708565253117,142.1100982720109,145.903310575188,10373418
139.94253540039062,143.50996101283164,136.55573631625282,143.01324150522802,6078680
144.05186462402344,144.54859794787683,138.36203900181184,140.7102253795251,4581106
142.92291259765625,145.04531207276983,141.02629971432413,144.5034187401264,4058426
144.23248291015625,145.31625587594831,141.0714703877255,141.79399029189386,3098216
151.2318572998047,152.857523526283,141.29724720356177,144.1873128390121,7646511
146.26455688476562,152.18016856745925,145.3614104837718,151.72859536696234,7451287
146.17422485351562,149.4707031261048,142.38099961047524,147.2128375199703,10759078
143.87123107910156,147.34833661496344,141.9746180370525,147.16771008260665,5155153
143.0583953857422,146.30972819124966,142.3358892342263,144.27764863303787,4803517
141.61337280273438,145.54205177718188,140.75538639090712,144.14218573832142,4584338
138.49749755859375,142.69712255170325,137.54919113988268,142.15522923217705,4768674
135.56228637695312,139.3103385966835,134.2527130120854,139.0845519863161,5257987
132.8979949951172,137.0976342684936,132.310955313263,135.47196789753892,4896793
132.0851593017578,134.97522498841565,129.7369731795807,133.57534533023005,5235207
125.44703674316406,133.30442190485664,124.72453060588212,132.62706206546392,9659999
123.55042266845703,126.66627480041159,120.29909031629255,125.53734186992664,8921517
123.00852966308594,126.21470195002175,122.0602232428768,124.85998242998573,4741588
118.35731506347656,123.64071218979558,117.49932890938213,123.23429914637376,6105912
