Close,High,Low,Open,Volume
MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
3038.00390625,3055.5094290204297,3019.36166122175,3019.36166122175,299232
3055.14599609375,3076.4253495514326,3046.87056862905,3055.509658437131,233924
3135.352783203125,3154.9499189460726,3070.1049268863744,3075.5156803240634,536747
3087.5654296875,3127.350714290645,3075.970861031726,3127.350714290645,422743
3126.213623046875,3145.4923885654393,3075.561322514096,3091.8846100965384,369241
3160.542724609375,3191.5070848730275,3131.8973222715254,3150.994257163425,422022
3153.904296875,3189.8247228828686,3119.120593209153,3182.822557659235,194054
3149.084716796875,3167.954308675436,3132.9432586838893,3155.5413888485073,152803
3153.949951171875,3196.4633686640645,3148.357365805543,3168.0908221420145,237771
3197.37255859375,3211.0132265058396,3147.62963401088,3157.2236148455986,429069
3297.22265625,3308.908029842211,3219.1979827727946,3228.610133478021,670686
3288.85595703125,3296.4946420159754,3266.530686845555,3287.6282081512427,379075
3297.63134765625,3312.4087373561915,3287.5826782570753,3298.9499011031844,192537
3278.8076171875,3306.4981305608426,3259.665167490468,3290.129327934304,333315
3305.31591796875,3355.604561904027,3266.4855247586083,3294.6762405903223,402419
3271.259765625,3317.4106956703035,3266.5765580820134,3317.4106956703035,318883
3279.853271484375,3309.908255885399,3251.0260360712414,3304.6793328903195,337571
3353.69482421875,3368.972418050865,3260.2562406580955,3314.637086004645,1278436
3388.16015625,3417.8967685802068,3357.4231394434278,3357.4231394434278,672705
3354.512939453125,3405.6199284216864,3343.7822367974745,3405.6199284216864,603103
3316.8193359375,3401.9824813953514,3297.9042325626137,3364.6979901531145,284786
3336.91650390625,3387.4324878259026,3291.947813672421,3316.8193866512106,319679
3280.89892578125,3371.9730275656234,3273.7602209374986,3371.9730275656234,220676
3235.157470703125,3304.6793684344166,3228.746311950026,3291.948077526854,203545
3203.465576171875,3271.032400490707,3190.0977650601612,3254.663597819361,379633
3185.1865234375,3213.286206466318,3173.7282752419555,3209.876039981459,198214
3102.160888671875,3180.2763618279396,3091.8848739522864,3173.7288853216114,286868
3086.2919921875,3162.8160466606864,3055.5094642840445,3085.518932236834,547537
3141.673095703125,3156.2686544521057,3097.340925961312,3097.340925961312,341769
3230.019287109375,3237.157992459334,3153.7225698009606,3153.7225698009606,436882
3289.17431640625,3298.313608608341,3211.286188896913,3241.9321794013604,321186
3248.388671875,3319.2291168221163,3238.749177962183,3291.9477816153594,260901
3241.88671875,3259.210412247334,3225.6089430533034,3251.0260111005073,161803
3269.349609375,3287.400848066385,3239.340141052402,3251.025734948085,214789
3225.88134765625,3286.491287717105,3221.01608774045,3282.853776607291,240749
3224.562744140625,3251.0257276814677,3212.695541125162,3238.2944381185193,163132
3263.12060546875,3273.760281981976,3231.2013539129944,3249.9801398512323,143983
3255.481689453125,3287.4009409224545,3241.1136969784143,3269.213383849578,173339
3179.958251953125,3257.300666037243,3167.499596900524,3244.0238816833935,429598
3277.76123046875,3290.901917199214,3179.957826379224,3180.09414424184,378654
3375.110595703125,3391.979600317035,3303.0879097189145,3317.5016383819257,386182
3372.564453125,3395.9356441059904,3355.195467450191,3381.0672257832625,206296
3345.0556640625,3446.2694713230244,3316.7286305598177,3410.167212173368,340907
3345.37353515625,3374.9283132446167,3311.3628947163697,3343.7821240284147,152837
3338.59912109375,3356.4227946836327,3294.6761242202488,3303.1333830742665,218786
3316.273681640625,3354.6948958859984,3310.362725602875,3354.6948958859984,182667
3325.094970703125,3339.235842270645,3287.719670057306,3312.000016990857,198508
3351.2392578125,3382.8401385657826,3330.23276237752,3335.0522874406965,308505
3319.865478515625,3380.339102005395,3296.5855401261942,3369.244737287176,363024
3316.546630859375,3343.782453873485,3308.1348854967614,3320.1386290704636,182829
3329.732666015625,3354.649531458669,3295.176306107588,3332.8699753409,185250
3332.77880859375,3344.691747288566,3312.227002301297,3331.051079477438,177261
3323.775634765625,3360.150744311624,3317.409990595075,3338.3256785840244,252139
3295.44921875,3339.9632229168765,3282.854245925263,3310.1355831490187,206403
3268.66796875,3309.4081447408357,3258.346662372171,3296.540535735561,192986
3262.211181640625,3305.5884603623854,3243.7962803139844,3296.4946819294764,227226
3287.17333984375,3300.040946661861,3249.479675156009,3264.6662397230966,201854
3238.70361328125,3294.630349567761,3217.333234375022,3278.3070619979203,489101
3282.89990234375,3291.7208240274326,3224.290538056158,3246.47927115904,204071
3329.186767578125,3341.0541928241146,3274.1694081154524,3300.1321899179948,152167
3362.28857421875,3389.888061151157,3328.1869018850616,3328.1869018850616,294635
3314.40966796875,3417.0330552747014,3273.7605192578503,3364.652798160138,694487
3300.086669921875,3338.235025928128,3291.038404811998,3315.5916065058154,262771
3273.66943359375,3319.229355471174,3253.754146267359,3310.1355764150885,306684
3299.859375,3332.778808917504,3279.2165421137033,3287.400942801175,256031
3327.595458984375,3334.688650776754,3296.4947802197253,3309.2260704054015,238584
3334.324951171875,3354.103919632151,3304.133428598958,3328.322968487842,201302
3333.0517578125,3346.5105948253404,3312.636268831524,3329.2324151237963,218690
3346.73779296875,3391.0699626331007,3319.5927756601486,3323.7760025272146,232802
3344.60107421875,3381.7037389899597,3330.369398104626,3343.1006894073676,206305
3316.319580078125,3349.1479911368256,3306.8166248247144,3333.9159103474885,99056
3281.080810546875,3317.7740737463405,3259.755944273667,3298.313476477059,175033
3173.865234375,3280.3534767979136,3155.5413582337683,3278.3073764935834,482786
3149.1298828125,3190.188424666156,3079.244330434268,3174.683488405125,422446
3177.775634765625,3215.151156161981,3164.6351681974493,3173.7289474164077,234616
